Ref,Val,Package,PosX,PosY,Rot,Side
"@HOLE0","","",68.501100,-166.753600,0.000000,top
"@HOLE1","","",284.501100,-147.753600,0.000000,top
"@HOLE2","","",-19.498900,-154.753600,0.000000,top
"@HOLE3","","",182.501100,-126.753600,0.000000,top
"@HOLE4","","",268.501100,-54.753600,0.000000,top
"@HOLE5","","",276.501100,-158.753600,0.000000,top
"@HOLE6","","",-13.498900,-143.753600,0.000000,top
"@HOLE7","","",65.501100,-49.753600,0.000000,top
"@HOLE8","","",184.501100,-71.753600,0.000000,top
"@HOLE9","","",136.501100,-160.753600,0.000000,top
"@HOLE10","","",119.501100,-59.753600,0.000000,top
"@HOLE11","","",174.501100,-45.253600,0.000000,top
"@HOLE12","","",-11.098900,-108.953600,0.000000,top
"@HOLE13","","",30.301100,-43.453600,0.000000,top
"@HOLE14","","",122.501100,-131.553600,0.000000,top
"@HOLE15","","",256.501100,-161.753600,0.000000,top
"@HOLE16","","",71.501100,-125.753600,0.000000,top
"D1","1N5400","DO201-15",159.501100,-65.753600,180.000000,top
"D2","1N5819HW-7-F","SOD3715X145N",158.501100,-55.753600,180.000000,top
"J1","RPI_PICO-TH","RPI_PICO_TH",27.501100,-151.753600,0.000000,top
"J2","MOLEX2171830001","24P",147.568981,-35.153600,180.000000,top
"J3","MA06-1","MA06-1",168.501100,-32.753600,0.000000,top
"J4","MA04-1","MA04-1",142.745065,-107.753600,90.000000,top
"J5","GT-USB-7010","16P",118.899393,-107.971075,-90.000000,top
"JP2","PINHD-1X1","1X01",2.501100,-96.753600,0.000000,top
"JP3","PINHD-1X1","1X01",17.501100,-85.753600,0.000000,top
"JP4","PINHD-1X1","1X01",54.501100,-78.753600,0.000000,top
"JP5","PINHD-1X1","1X01",81.501100,-88.753600,0.000000,top
"JP6","PINHD-1X1","1X01",86.501100,-158.753600,0.000000,top
"JP7","PINHD-1X1","1X01",112.501100,-161.753600,0.000000,top
"JP8","PINHD-1X1","1X01",156.501100,-94.753600,0.000000,top
"JP9","PINHD-1X1","1X01",241.501100,-60.753600,0.000000,top
"JP10","PINHD-1X1","1X01",238.501100,-87.753600,0.000000,top
"JP11","PINHD-1X1","1X01",264.501100,-79.753600,0.000000,top
"JP12","PINHD-1X1","1X01",268.501100,-39.753600,0.000000,top
"JP13","PINHD-1X1","1X01",294.501100,-54.753600,0.000000,top
"JP14","PINHD-1X1","1X01",311.501100,-72.753600,0.000000,top
"JP15","PINHD-1X1","1X01",313.501100,-100.753600,0.000000,top
"JP16","PINHD-1X1","1X01",291.501100,-83.753600,0.000000,top
"JP17","PINHD-1X1","1X01",236.501100,-125.753600,0.000000,top
"JP18","PINHD-1X1","1X01",211.501100,-133.753600,0.000000,top
"JP19","PINHD-1X1","1X01",257.501100,-141.753600,0.000000,top
"JP20","PINHD-1X1","1X01",235.501100,-150.753600,0.000000,top
"JP21","PINHD-1X1","1X01",183.501100,-171.753600,0.000000,top
"R1","5.1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",149.534240,-39.919945,0.000000,top
"R2","5.1k","R_0603_1608Metric",152.491276,-44.510583,0.000000,top
"R3","5.1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",134.620000,-35.560000,180.000000,top
"R4","5.1k","R_0603_1608Metric",133.286267,-39.142301,180.000000,top
"U$1","MX-B","MX-BOTH",-11.033900,-89.417600,180.000000,top
"U$2","MX-B","MX-BOTH",14.246100,-73.114600,180.000000,top
"U$4","MX-B","MX-BOTH",42.602100,-70.388600,180.000000,top
"U$5","MX-B","MX-BOTH",69.174100,-82.151600,180.000000,top
"U$6","MX-B","MX-BOTH",76.133100,-149.302600,180.000000,top
"U$7","MX-B","MX-BOTH",98.821100,-165.071600,180.000000,top
"U$8","MX-B","MX-BOTH",148.906100,-82.151600,180.000000,top
"U$9","MX-B","MX-BOTH",227.968100,-54.168600,180.000000,top
"U$10","MX-B","MX-BOTH",254.486100,-42.172600,180.000000,top
"U$11","MX-B","MX-BOTH",282.841100,-45.147600,180.000000,top
"U$12","MX-B","MX-BOTH",309.064100,-61.183600,180.000000,top
"U$13","MX-B","MX-BOTH",227.968100,-81.777600,180.000000,top
"U$14","MX-B","MX-BOTH",254.486100,-69.782600,180.000000,top
"U$15","MX-B","MX-BOTH",282.841100,-72.757600,180.000000,top
"U$16","MX-B","MX-BOTH",309.064100,-88.793600,180.000000,top
"U$17","MX-B","MX-BOTH",220.953100,-118.117600,180.000000,top
"U$18","MX-B","MX-BOTH",198.266100,-133.887600,180.000000,top
"U$19","MX-B","MX-BOTH",243.610100,-133.887600,180.000000,top
"U$20","MX-B","MX-BOTH",220.953100,-149.302600,180.000000,top
"U$21","MX-B","MX-BOTH",198.266100,-165.072600,180.000000,top
